Title,Abstract,Discipline,Methodology
Performance Evaluation of Genetic Algorithm Selection Methods in Outlier Detection: Further Analysis,"Feature selection is very crucial in the activities of soft computing algorithms for quality, precision and accuracy. This paper evaluates the performance of some feature selection methods of Genetic Algorithm in outlier detection on fingerprint images. Roulette wheel, Rank and Tournament methods were considered for feature selection and selected features were enhanced using histogram equalization. K-nearest neighbor algorithm was employed for classification to detect outliers. The implementation of the experiment was carried out in Matrix laboratory environment. Performance of the selection methods were evaluated based on metrics of accuracy, specificity, precision and computation time.",CS,Quantitative
An algorithm for sizing software products,This paper reports on efforts to develop a cost forecasting scheme based on a Function Metric called System BANG. A Function Metric is a quantifiable indication of system system size and complexity derived directly from a formal statement of system requirement. Conclusions from a small sample of projects are presented.,CS,Quantitative
"Performance Evaluation of Capuchin Search Algorithm Through Non-linear Problems, and Optimization of Gear Train Design Problem","The purpose of this paper is to demonstrate the superiority of the Capuchin Search Algorithm (CapSA), a metaheuristic, in competitive environments and its advantages in optimizing engineering design problems. To achieve this, the CEC 2019 function set was used. Due to the challenging characteristics of the CEC 2019 function set in reaching a global solution, it effectively showcases the algorithm's quality. For this comparison, sea-horse optimizer (SHO), grey wolf optimizer (GWO), sine-cosine algorithm (SCA), and smell agent optimization (SAO) were chosen as current and effective alternatives to the CapSA algorithm. Furthermore, the gear train design problem (GTD) was selected as an engineering design problem. In addition to the CapSA algorithm, a hybrid of SCA and GWO algorithm (SC-GWO) and genetic algorithm (GA) were chosen as alternatives for optimizing this problem. The performance superiority and optimization power of the CapSA algorithm were assessed using statistical metrics and convergence curves, then compared with alternative algorithms. Experimental results conclusively demonstrate the significant effectiveness and advantages of the CapSA algorithm.",CS,Quantitative
Performance Evaluation of Genetic Algorithm-Driven Blockchain Encryption for EHR Management and Validation,"In the realm of electronic health record (EHR) management, ensuring robust security and validation mechanisms is paramount due to the sensitive nature of healthcare data. This research focuses on the performance evaluation of a genetic algorithm-driven blockchain encryption approach for enhancing EHR security and validation. The proposed method leverages genetic algorithms to optimize encryption parameters within a blockchain framework, aiming to safeguard patient privacy and prevent unauthorized access. By integrating advanced cryptographic techniques like Elliptic Curve Cryptography (ECC) and Keyed-Hash Message Authentication Code (HMAC)-based authentication, along with machine learning for data classification. The evaluation of the approach holds significant promise in advancing secure EHR management practices, addressing critical challenges in data privacy and integrity within healthcare environments. Finally, as a result, this study presents a comparative analysis of cryptographic systems genetic algorithm-driven blockchain encryption (GADBE)+ECC and GADBE+ Advanced Encryption Standard (AES), focusing on the scaling of encryption and decryption times relative to key sizes and data volumes. Results show that both systems exhibit increasing times with larger key sizes and data sizes. ECC consistently demonstrates superior speed over AES, with decryption times ranging from 0.4 to 3.5 seconds for key sizes from 128 to 512 bits, indicating potential performance advantages of ECC in cryptographic applications.",CS,Quantitative
Performance Evaluation of Genetic Algorithm-Driven Blockchain Encryption for EHR Management and Validation,"In the realm of electronic health record (EHR) management, ensuring robust security and validation mechanisms is paramount due to the sensitive nature of healthcare data. This research focuses on the performance evaluation of a genetic algorithm-driven blockchain encryption approach for enhancing EHR security and validation. The proposed method leverages genetic algorithms to optimize encryption parameters within a blockchain framework, aiming to safeguard patient privacy and prevent unauthorized access. By integrating advanced cryptographic techniques like Elliptic Curve Cryptography (ECC) and Keyed-Hash Message Authentication Code (HMAC)-based authentication, along with machine learning for data classification. The evaluation of the approach holds significant promise in advancing secure EHR management practices, addressing critical challenges in data privacy and integrity within healthcare environments. Finally, as a result, this study presents a comparative analysis of cryptographic systems genetic algorithm-driven blockchain encryption (GADBE)+ECC and GADBE+ Advanced Encryption Standard (AES), focusing on the scaling of encryption and decryption times relative to key sizes and data volumes. Results show that both systems exhibit increasing times with larger key sizes and data sizes. ECC consistently demonstrates superior speed over AES, with decryption times ranging from 0.4 to 3.5 seconds for key sizes from 128 to 512 bits, indicating potential performance advantages of ECC in cryptographic applications.",CS,Quantitative
Application of ID3 Algorithm in Logistics Performance Evaluation,"It is of vital importance to evaluate logistics performance of logistics company along with fiercer competition. ID3 algorithm is an effective method. In this paper, fisrtly we introduce ID3 algorithm. Then we apply it to evaluate logistics performance of a logistics company.",CS,Quantitative
Performance analysis of an algorithm for concurrency control in replicated database systems,"In this paper, we analyze the performance of a concurrency control algorithm for replicated database systems. We present a model of a distributed database system which provides a framework to study the performance of different concurrency control algorithms. We discuss performance criteria to evaluate different algorithms. We use the model to analyze the performance of an algorithm for concurrency control in replicated database systems. The technique used in analysis is iterative and approximate. We plot a set of performance measures for several values of the model parameters. The results of analysis are compared against a simulation study.",CS,Mixed
A time-stamping algorithm for efficient performance estimation of superscalar processors,"The increasing complexity of modern superscalar microprocessors makes the evaluation of new designs and techniques much more difficult. Fast and accurate methods for simulating program execution on realistic and hypothetical processor models are of great interest to many computer architects and compiler writers. There are many existing techniques, from profile based runtime estimation to complete cycle-level simulations. Many researchers choose to sacrifice the speed of profiling for the accuracy obtainable by cycle-level simulators. This paper presents a technique that provides accurate performance predictions, while avoiding the complexity associated with a complete processor emulator. The approach augments a fast in-order simulator with a time-stamping algorithm that provides a very good estimate of program running time. This algorithm achieves an average accuracy that is within 7.5% of a cycle-level out-of-order simulator in approximately 41% of the running time on the eight SPECInt95 integer benchmarks.",CS,Quantitative
The k-means Algorithm: A Comprehensive Survey and Performance Evaluation,"The k-means clustering algorithm is considered one of the most powerful and popular data mining algorithms in the research community. However, despite its popularity, the algorithm has certain limitations, including problems associated with random initialization of the centroids which leads to unexpected convergence. Additionally, such a clustering algorithm requires the number of clusters to be defined beforehand, which is responsible for different cluster shapes and outlier effects. A fundamental problem of the k-means algorithm is its inability to handle various data types. This paper provides a structured and synoptic overview of research conducted on the k-means algorithm to overcome such shortcomings. Variants of the k-means algorithms including their recent developments are discussed, where their effectiveness is investigated based on the experimental analysis of a variety of datasets. The detailed experimental analysis along with a thorough comparison among different k-means clustering algorithms differentiates our work compared to other existing survey papers. Furthermore, it outlines a clear and thorough understanding of the k-means algorithm along with its different research directions.",CS,Mixed
Fuzzy Comprehensive Evaluation Algorithm and Application of Supply Chain Performance,"This article embarks from the connotation of supply chain performance and its evaluation indexes’ present research situation, selects the key indexes of supply chain performance evaluation, constructs indexes system of supply chain performance evaluation, and uses fuzzy comprehensive evaluation algorithm to make appraisal on the key indexes. Finally through computation and analysis of specific cases to show this appraisal method is helpful for enterprise improving their overall supply chain performance.",IS,Mixed
Quantitative Performance Evaluation Technology Based on Sparse Oblique Trees Algorithm in Mobile Internet,"The quantitative performance evaluation is a method for evaluating an employee based on measurable factors directly related to their job. Many professionals in the modern workforce are no longer able to easily and consistently access desktop computers due to their increasingly itinerant lifestyle. Employees must be able to access contemporary employee performance management programs via mobile internet for them to be completely inclusive. Problems with the performance evaluation include the subjective one-sidedness of the evaluation indicators and the challenging measurement of the indicators. To address this drawback, the methodology used in this research was provided in order to classify employee data more precisely. The data is gathered from 227 enterprises in South Korea. At the pre-processing stage, the adaptive robust cubature kalman filtering is used to pre-process the data. The employee discipline, employee attitude, employee effort are successfully classified using sparse oblique trees algorithm (SOTA).To increase the SOTA, the neural network's weight parameter is optimized using the Sea Lion optimization (SLO).The proposed QPET-SOTA-SLO applied in MATLAB/Simulink platform. The proposed method was calculated using performance measures like accuracy, precision, sensitivity, computation time, and recall. Higher accuracy of 16.65%, 18.85%, and 17.89%, as well as higher sensitivity of 16.34%, 12.23%, and 18.54%, are achieved by the suggested QPET-SOTA-SLO approach. In comparison to the current approach, there are 14.89%, 16.89%, and 18.23% as well as 82.37%, 94.47%, and 87.76% less computing time.",CS,Quantitative
Biclustering Performance Evaluation of Cheng and Church Algorithm and Iterative Signature Algorithm,"Biclustering has been widely applied in recent years. Various algorithms have been developed to perform biclustering applied to various cases. However, only a few studies have evaluated the performance of bicluster algorithms. Therefore, this study evaluates the performance of biclustering algorithms, namely the Cheng and Church algorithm (CC algorithm) and the Iterative Signature Algorithm (ISA). Evaluation of the performance of the biclustering algorithm is carried out in the form of a comparative study of biclustering results in terms of membership, characteristics, distribution of biclustering results, and performance evaluation. The performance evaluation uses two evaluation functions: the intra-bicluster and the inter-bicluster. The results show that, from an intra-bicluster evaluation perspective, the optimal bicluster group of the CC algorithm produces bicluster quality which tends to be better than the ISA. The biclustering results between the two algorithms in inter-bicluster evaluation produce a deficient level of similarity (20-31 percent). This is indicated by the differences in the results of regional membership and the characteristics of the identifying variables. The biclustering results of the CC algorithm tend to be homogeneous and have local characteristics. Meanwhile, the results of biclustering ISA tend to be heterogeneous and have global characteristics. In addition, the results of biclustering ISA are also robust.",CS,Quantitative
